CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Credit Rank,Age rank,Balance Rank,Salary Rank,Complain_dict
15634602,Hargrave,619,France,Female,42,2,0.0,1,Using Credit Card,Active,101348.88,Leave,1,2,DIAMOND,464,600 - 700,Adult,Balance small,100k - 150k,Complain
15647311,Hill,608,Spain,Female,41,1,83807.86,1,Not using Credit Card,Active,112542.58,Client,1,3,DIAMOND,456,600 - 700,Adult,Balance medium,100k - 150k,Complain
15619304,Onio,502,France,Female,42,8,159660.8,3,Using Credit Card,Not active,113931.57,Leave,1,3,DIAMOND,377,500 - 600,Adult,Balance high,100k - 150k,Complain
15701354,Boni,699,France,Female,39,1,0.0,2,Not using Credit Card,Not active,93826.63,Client,0,5,GOLD,350,600 - 700,Adult,Balance small,50k - 100k,No comment
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,Using Credit Card,Active,79084.1,Client,0,5,GOLD,425,800 - 900,Adult,Balance medium,50k - 100k,No comment
15574012,Chu,645,Spain,Male,44,8,113755.78,2,Using Credit Card,Not active,149756.71,Leave,1,5,DIAMOND,484,600 - 700,Adult,Balance medium,100k - 150k,Complain
15592531,Bartlett,822,France,Male,50,7,0.0,2,Using Credit Card,Active,10062.8,Client,0,2,SILVER,206,800 - 900,Adult,Balance small,0 - 50k,No comment
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,Using Credit Card,Not active,119346.88,Leave,1,2,DIAMOND,282,300 - 400,Young_adult,Balance medium,100k - 150k,Complain
15792365,He,501,France,Male,44,4,142051.07,2,Not using Credit Card,Active,74940.5,Client,0,3,GOLD,251,500 - 600,Adult,Balance medium,50k - 100k,No comment
15592389,H?,684,France,Male,27,2,134603.88,1,Using Credit Card,Active,71725.73,Client,0,3,GOLD,342,600 - 700,Young_adult,Balance medium,50k - 100k,No comment
15767821,Bearce,528,France,Male,31,6,102016.72,2,Not using Credit Card,Not active,80181.12,Client,0,3,GOLD,264,500 - 600,Adult,Balance medium,50k - 100k,No comment
15737173,Andrews,497,Spain,Male,24,3,0.0,2,Using Credit Card,Not active,76390.01,Client,0,3,GOLD,249,400 - 500,Young_adult,Balance small,50k - 100k,No comment
15632264,Kay,476,France,Female,34,10,0.0,2,Using Credit Card,Not active,26260.98,Client,0,3,SILVER,119,400 - 500,Adult,Balance small,0 - 50k,No comment
15691483,Chin,549,France,Female,25,5,0.0,2,Not using Credit Card,Not active,190857.79,Client,0,3,PLATINUM,549,500 - 600,Young_adult,Balance small,150k - 200k,No comment
15600882,Scott,635,Spain,Female,35,7,0.0,2,Using Credit Card,Active,65951.65,Client,0,2,GOLD,318,600 - 700,Adult,Balance small,50k - 100k,No comment
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,Not using Credit Card,Active,64327.26,Client,0,5,GOLD,308,600 - 700,Adult,Balance medium,50k - 100k,No comment
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,Using Credit Card,Not active,5097.67,Leave,0,2,SILVER,163,600 - 700,Senior,Balance medium,0 - 50k,No comment
15788218,Henderson,549,Spain,Female,24,9,0.0,2,Using Credit Card,Active,14406.41,Client,0,3,SILVER,544,500 - 600,Young_adult,Balance small,0 - 50k,No comment
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,Not using Credit Card,Not active,158684.81,Client,0,3,PLATINUM,732,500 - 600,Adult,Balance small,150k - 200k,No comment
15568982,Hao,726,France,Female,24,6,0.0,2,Using Credit Card,Active,54724.03,Client,0,4,GOLD,477,700 - 800,Young_adult,Balance small,50k - 100k,No comment
15577657,McDonald,732,France,Male,41,8,0.0,2,Using Credit Card,Active,170886.17,Client,0,3,PLATINUM,568,700 - 800,Adult,Balance small,150k - 200k,No comment
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,Using Credit Card,Not active,138555.46,Client,0,2,DIAMOND,336,600 - 700,Adult,Balance small,100k - 150k,No comment
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,Using Credit Card,Not active,118913.53,Leave,1,2,DIAMOND,887,500 - 600,Adult,Balance small,100k - 150k,Complain
15725737,Mosman,669,France,Male,46,3,0.0,2,Not using Credit Card,Active,8487.75,Client,0,2,SILVER,665,600 - 700,Adult,Balance small,0 - 50k,No comment
15625047,Yen,846,France,Female,38,5,0.0,1,Using Credit Card,Active,187616.16,Client,0,3,PLATINUM,225,800 - 900,Adult,Balance small,150k - 200k,No comment
15738191,Maclean,577,France,Male,25,3,0.0,2,Not using Credit Card,Active,124508.29,Client,0,3,PLATINUM,659,500 - 600,Young_adult,Balance small,100k - 150k,No comment
15736816,Young,756,Germany,Male,36,2,136815.64,1,Using Credit Card,Active,170041.95,Client,0,5,DIAMOND,236,700 - 800,Adult,Balance medium,150k - 200k,No comment
15700772,Nebechi,571,France,Male,44,9,0.0,2,Not using Credit Card,Not active,38433.35,Client,0,4,PLATINUM,448,500 - 600,Adult,Balance small,0 - 50k,No comment
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,Using Credit Card,Active,100187.43,Client,0,5,DIAMOND,499,500 - 600,Adult,Balance medium,100k - 150k,No comment
15656300,Lucciano,411,France,Male,29,0,59697.17,2,Using Credit Card,Active,53483.21,Client,0,2,GOLD,343,400 - 500,Young_adult,Balance medium,50k - 100k,No comment
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,Using Credit Card,Not active,140469.38,Leave,1,3,DIAMOND,298,500 - 600,Adult,Balance small,100k - 150k,Complain
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,Not using Credit Card,Active,156731.91,Client,0,5,SILVER,628,500 - 600,Adult,Balance medium,150k - 200k,No comment
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,Not using Credit Card,Not active,81898.81,Client,0,3,GOLD,611,500 - 600,Adult,Balance medium,50k - 100k,No comment
15659428,Maggard,520,Spain,Female,42,6,0.0,2,Using Credit Card,Active,34410.55,Client,0,2,SILVER,922,500 - 600,Adult,Balance small,0 - 50k,No comment
15732963,Clements,722,Spain,Female,29,9,0.0,2,Using Credit Card,Active,142033.07,Client,0,5,PLATINUM,276,700 - 800,Young_adult,Balance small,100k - 150k,No comment
15794171,Lombardo,475,France,Female,45,0,134264.04,1,Using Credit Card,Not active,27822.99,Leave,1,1,DIAMOND,877,400 - 500,Adult,Balance medium,0 - 50k,Complain
15788448,Watson,490,Spain,Male,31,3,145260.23,1,Not using Credit Card,Active,114066.77,Client,0,4,SILVER,471,400 - 500,Adult,Balance medium,100k - 150k,No comment
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,Not using Credit Card,Active,98453.45,Client,0,2,GOLD,994,800 - 900,Adult,Balance medium,50k - 100k,No comment
15717426,Armstrong,850,France,Male,36,7,0.0,1,Using Credit Card,Active,40812.9,Client,0,3,GOLD,944,800 - 900,Adult,Balance small,0 - 50k,No comment
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,Not using Credit Card,Active,178074.04,Client,0,5,GOLD,419,500 - 600,Adult,Balance medium,150k - 200k,No comment
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,Using Credit Card,Not active,70154.22,Client,0,4,DIAMOND,545,400 - 500,Adult,Balance small,50k - 100k,No comment
15738148,Clarke,465,France,Female,51,8,122522.32,1,Not using Credit Card,Not active,181297.65,Leave,1,5,SILVER,828,400 - 500,Senior,Balance medium,150k - 200k,Complain
15687946,Osborne,556,France,Female,61,2,117419.35,1,Using Credit Card,Active,94153.83,Client,0,3,PLATINUM,789,500 - 600,Senior,Balance medium,50k - 100k,No comment
15755196,Lavine,834,France,Female,49,2,131394.56,1,Not using Credit Card,Not active,194365.76,Leave,1,2,GOLD,567,800 - 900,Adult,Balance medium,150k - 200k,Complain
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,Using Credit Card,Active,158338.39,Client,0,1,PLATINUM,884,600 - 700,Senior,Balance high,150k - 200k,No comment
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,Using Credit Card,Active,126517.46,Client,0,1,SILVER,296,700 - 800,Adult,Balance medium,100k - 150k,No comment
15602280,Martin,829,Germany,Female,27,9,112045.67,1,Using Credit Card,Active,119708.21,Leave,1,3,DIAMOND,779,800 - 900,Young_adult,Balance medium,100k - 150k,Complain
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,Using Credit Card,Active,117622.8,Leave,1,1,SILVER,730,600 - 700,Adult,Balance medium,100k - 150k,Complain
15766205,Yin,550,Germany,Male,38,2,103391.38,1,Not using Credit Card,Active,90878.13,Client,0,3,DIAMOND,960,500 - 600,Adult,Balance medium,50k - 100k,No comment
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,Using Credit Card,Not active,194099.12,Client,0,1,SILVER,268,700 - 800,Adult,Balance medium,150k - 200k,No comment
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,Using Credit Card,Not active,198059.16,Client,0,4,SILVER,829,600 - 700,Adult,Balance medium,150k - 200k,No comment
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,Not using Credit Card,Not active,86424.57,Client,0,3,SILVER,665,500 - 600,Adult,Balance medium,50k - 100k,No comment
15683553,O'Brien,788,France,Female,33,5,0.0,2,Not using Credit Card,Not active,116978.19,Client,0,3,GOLD,982,700 - 800,Adult,Balance small,100k - 150k,No comment
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,Not using Credit Card,Not active,164040.94,Leave,1,3,SILVER,343,600 - 700,Adult,Balance medium,150k - 200k,Complain
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,Using Credit Card,Not active,40014.76,Leave,1,2,DIAMOND,225,600 - 700,Adult,Balance medium,0 - 50k,Complain
15760861,Phillipps,619,France,Male,43,1,125211.92,1,Using Credit Card,Active,113410.49,Client,0,5,SILVER,657,600 - 700,Adult,Balance medium,100k - 150k,No comment
15630053,Tsao,656,France,Male,45,5,127864.4,1,Using Credit Card,Not active,87107.57,Client,0,2,PLATINUM,221,600 - 700,Adult,Balance medium,50k - 100k,No comment
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,Not using Credit Card,Not active,45613.75,Client,0,2,PLATINUM,406,700 - 800,Young_adult,Balance medium,0 - 50k,No comment
15623944,T'ien,511,Spain,Female,66,4,0.0,1,Using Credit Card,Not active,1643.11,Leave,1,5,SILVER,549,500 - 600,Senior,Balance small,0 - 50k,Complain
15804771,Velazquez,614,France,Male,51,4,40685.92,1,Using Credit Card,Active,46775.28,Client,0,4,PLATINUM,954,600 - 700,Senior,Balance small,0 - 50k,No comment
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,Not using Credit Card,Not active,84509.57,Client,0,4,GOLD,823,700 - 800,Adult,Balance medium,50k - 100k,No comment
15773469,Clark,687,Germany,Female,27,9,152328.88,2,Not using Credit Card,Not active,126494.82,Client,0,5,DIAMOND,769,600 - 700,Young_adult,Balance high,100k - 150k,No comment
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,Not using Credit Card,Not active,178798.13,Client,0,5,PLATINUM,481,500 - 600,Adult,Balance medium,150k - 200k,No comment
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,Using Credit Card,Active,99398.36,Client,0,4,SILVER,903,600 - 700,Senior,Balance medium,50k - 100k,No comment
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,Using Credit Card,Active,92840.67,Client,0,3,PLATINUM,882,600 - 700,Young_adult,Balance medium,50k - 100k,No comment
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,Using Credit Card,Active,27758.36,Client,1,5,GOLD,379,700 - 800,Adult,Balance high,0 - 50k,Complain
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,Using Credit Card,Not active,110431.51,Client,1,3,PLATINUM,469,500 - 600,Adult,Balance medium,100k - 150k,Complain
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,Using Credit Card,Active,196673.28,Client,1,3,PLATINUM,683,700 - 800,Adult,Balance medium,150k - 200k,Complain
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,Not using Credit Card,Active,113656.85,Client,1,1,GOLD,770,600 - 700,Adult,Balance high,100k - 150k,Complain
15755648,Pisano,675,France,Female,21,8,98373.26,1,Using Credit Card,Not active,18203.0,Client,0,5,SILVER,985,600 - 700,Young_adult,Balance medium,0 - 50k,No comment
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,Using Credit Card,Not active,28373.86,Leave,1,4,GOLD,725,700 - 800,Senior,Balance medium,0 - 50k,Complain
15620344,McKee,813,France,Male,29,6,0.0,1,Using Credit Card,Not active,33953.87,Client,0,3,PLATINUM,259,800 - 900,Young_adult,Balance small,0 - 50k,No comment
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,Not using Credit Card,Active,44203.55,Client,0,2,GOLD,979,600 - 700,Adult,Balance high,0 - 50k,No comment
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,Using Credit Card,Active,58426.81,Client,0,2,SILVER,988,600 - 700,Young_adult,Balance high,50k - 100k,No comment
15770811,Wallace,519,France,Male,36,9,0.0,2,Not using Credit Card,Active,145562.4,Client,0,2,PLATINUM,833,500 - 600,Adult,Balance small,100k - 150k,No comment
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,Using Credit Card,Not active,22388.0,Client,0,1,PLATINUM,527,700 - 800,Young_adult,Balance high,0 - 50k,No comment
15614049,Hu,664,France,Male,55,8,0.0,2,Using Credit Card,Active,139161.64,Client,0,5,SILVER,220,600 - 700,Senior,Balance small,100k - 150k,No comment
15662085,Read,678,France,Female,32,9,0.0,1,Using Credit Card,Active,148210.64,Client,0,4,GOLD,983,600 - 700,Adult,Balance small,100k - 150k,No comment
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,Not using Credit Card,Active,194239.63,Client,0,3,SILVER,582,700 - 800,Adult,Balance medium,150k - 200k,No comment
15803136,Postle,416,Germany,Female,41,10,122189.66,2,Using Credit Card,Not active,98301.61,Client,0,3,SILVER,281,400 - 500,Adult,Balance medium,50k - 100k,No comment
15706021,Buley,665,France,Female,34,1,96645.54,2,Not using Credit Card,Not active,171413.66,Client,0,3,DIAMOND,798,600 - 700,Adult,Balance medium,150k - 200k,No comment
15663706,Leonard,777,France,Female,32,2,0.0,1,Using Credit Card,Not active,136458.19,Leave,1,5,SILVER,917,700 - 800,Adult,Balance small,100k - 150k,Complain
15641732,Mills,543,France,Female,36,3,0.0,2,Not using Credit Card,Not active,26019.59,Client,0,2,DIAMOND,255,500 - 600,Adult,Balance small,0 - 50k,No comment
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,Using Credit Card,Active,159235.29,Client,0,4,SILVER,511,500 - 600,Adult,Balance medium,150k - 200k,No comment
15738751,Beit,493,France,Female,46,4,0.0,2,Using Credit Card,Not active,1907.66,Client,0,1,SILVER,498,400 - 500,Adult,Balance small,0 - 50k,No comment
15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,Using Credit Card,Active,114675.75,Client,0,5,DIAMOND,651,600 - 700,Senior,Balance small,100k - 150k,No comment
15762418,Gant,750,Spain,Male,22,3,121681.82,1,Using Credit Card,Not active,128643.35,Leave,1,2,SILVER,852,700 - 800,Young_adult,Balance medium,100k - 150k,Complain
15625759,Rowley,729,France,Male,30,9,0.0,2,Using Credit Card,Not active,151869.35,Client,0,1,DIAMOND,807,700 - 800,Adult,Balance small,150k - 200k,No comment
15622897,Sharpe,646,France,Female,46,4,0.0,3,Using Credit Card,Not active,93251.42,Leave,1,3,PLATINUM,470,600 - 700,Adult,Balance small,50k - 100k,Complain
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,Using Credit Card,Active,156791.36,Client,0,1,DIAMOND,659,600 - 700,Young_adult,Balance medium,150k - 200k,No comment
15757535,Heap,647,Spain,Female,44,5,0.0,3,Using Credit Card,Active,174205.22,Leave,1,3,DIAMOND,752,600 - 700,Adult,Balance small,150k - 200k,Complain
