CustomerId,Surname,Geography,Gender,Age,Balance,EstimatedSalary,NumOfProducts,Card Type,HasCrCard,CreditScore,Tenure,Complain,Satisfaction Score,Point Earned,IsActiveMember,Exited,Credit Rank,Age rank,Balance Rank,IsActiveMember_rank,Salary Rank,Exited_rank,Complain_dict
15634602,Hargrave,France,Female,42,0.0,101348.88,1,DIAMOND,Using Credit Card,619,2,1,2,464,1,1,600 - 700,Adult,Balance small,Active,100k - 150k,Exited,Complain
15647311,Hill,Spain,Female,41,83807.86,112542.58,1,DIAMOND,Not using Credit Card,608,1,1,3,456,1,0,600 - 700,Adult,Balance medium,Active,100k - 150k,Client,Complain
15619304,Onio,France,Female,42,159660.8,113931.57,3,DIAMOND,Using Credit Card,502,8,1,3,377,0,1,500 - 600,Adult,Balance high,Not active,100k - 150k,Exited,Complain
15701354,Boni,France,Female,39,0.0,93826.63,2,GOLD,Not using Credit Card,699,1,0,5,350,0,0,600 - 700,Adult,Balance small,Not active,50k - 100k,Client,No Complain
15737888,Mitchell,Spain,Female,43,125510.82,79084.1,1,GOLD,Using Credit Card,850,2,0,5,425,1,0,800 - 900,Adult,Balance medium,Active,50k - 100k,Client,No Complain
15574012,Chu,Spain,Male,44,113755.78,149756.71,2,DIAMOND,Using Credit Card,645,8,1,5,484,0,1,600 - 700,Adult,Balance medium,Not active,100k - 150k,Exited,Complain
15592531,Bartlett,France,Male,50,0.0,10062.8,2,SILVER,Using Credit Card,822,7,0,2,206,1,0,800 - 900,Adult,Balance small,Active,0 - 50k,Client,No Complain
15656148,Obinna,Germany,Female,29,115046.74,119346.88,4,DIAMOND,Using Credit Card,376,4,1,2,282,0,1,300 - 400,Young_adult,Balance medium,Not active,100k - 150k,Exited,Complain
15792365,He,France,Male,44,142051.07,74940.5,2,GOLD,Not using Credit Card,501,4,0,3,251,1,0,500 - 600,Adult,Balance medium,Active,50k - 100k,Client,No Complain
15592389,H?,France,Male,27,134603.88,71725.73,1,GOLD,Using Credit Card,684,2,0,3,342,1,0,600 - 700,Young_adult,Balance medium,Active,50k - 100k,Client,No Complain
15767821,Bearce,France,Male,31,102016.72,80181.12,2,GOLD,Not using Credit Card,528,6,0,3,264,0,0,500 - 600,Adult,Balance medium,Not active,50k - 100k,Client,No Complain
15737173,Andrews,Spain,Male,24,0.0,76390.01,2,GOLD,Using Credit Card,497,3,0,3,249,0,0,400 - 500,Young_adult,Balance small,Not active,50k - 100k,Client,No Complain
15632264,Kay,France,Female,34,0.0,26260.98,2,SILVER,Using Credit Card,476,10,0,3,119,0,0,400 - 500,Adult,Balance small,Not active,0 - 50k,Client,No Complain
15691483,Chin,France,Female,25,0.0,190857.79,2,PLATINUM,Not using Credit Card,549,5,0,3,549,0,0,500 - 600,Young_adult,Balance small,Not active,150k - 200k,Client,No Complain
15600882,Scott,Spain,Female,35,0.0,65951.65,2,GOLD,Using Credit Card,635,7,0,2,318,1,0,600 - 700,Adult,Balance small,Active,50k - 100k,Client,No Complain
